start_time,end_time,goes_class
2014-02-26 14:52:00,2014-02-26 15:10:00,M1.1
2014-02-28 00:44:00,2014-02-28 00:50:00,M1.1
2014-03-01 13:18:00,2014-03-01 13:40:00,M1.1
2014-03-02 23:11:00,2014-03-02 23:26:00,M1.1
2014-03-03 15:54:00,2014-03-03 16:01:00,M1.2
2014-03-05 02:06:00,2014-03-05 02:12:00,M1.0
2014-03-08 23:26:00,2014-03-08 23:50:00,M1.4
2014-03-09 13:52:00,2014-03-09 14:05:00,M1.0
2014-03-09 20:13:00,2014-03-09 20:35:00,M1.0
2014-03-10 00:19:00,2014-03-10 00:33:00,M1.1
2014-03-10 04:02:00,2014-03-10 04:13:00,M1.0
2014-03-10 15:21:00,2014-03-10 15:32:00,M1.7
2014-03-10 22:45:00,2014-03-10 23:12:00,M1.4
2014-03-11 03:44:00,2014-03-11 03:56:00,M3.5
2014-03-11 11:58:00,2014-03-11 12:14:00,M1.7
2014-03-12 10:55:00,2014-03-12 11:11:00,M2.5
2014-03-12 22:28:00,2014-03-12 22:39:00,M9.3
2014-03-13 19:03:00,2014-03-13 19:30:00,M1.2
2014-03-22 06:58:00,2014-03-22 07:05:00,M1.1
2014-03-28 19:04:00,2014-03-28 19:27:00,M2.0
2014-03-28 23:44:00,2014-03-28 23:58:00,M2.6
2014-03-30 11:48:00,2014-03-30 12:02:00,M2.1
2014-03-31 07:20:00,2014-03-31 08:18:00,M1.4
2014-04-02 13:18:00,2014-04-02 14:28:00,M6.5
2014-04-16 19:54:00,2014-04-16 20:04:00,M1.0
2014-04-18 12:31:00,2014-04-18 13:20:00,M7.3
2014-05-06 08:41:00,2014-05-06 09:21:00,M1.8
2014-05-06 22:01:00,2014-05-06 22:20:00,M1.0
2014-05-08 09:59:00,2014-05-08 10:18:00,M5.2
2014-05-24 18:26:00,2014-05-24 18:44:00,M1.3
2014-06-03 03:58:00,2014-06-03 04:17:00,M1.3
2014-06-06 19:26:00,2014-06-06 19:33:00,M1.4
2014-06-11 05:30:00,2014-06-11 05:36:00,M1.8
2014-06-11 08:00:00,2014-06-11 08:15:00,M3.0
2014-06-11 20:53:00,2014-06-11 21:10:00,M3.9
2014-06-12 04:14:00,2014-06-12 04:26:00,M2.0
2014-06-12 09:23:00,2014-06-12 09:42:00,M1.8
2014-06-12 10:14:00,2014-06-12 10:27:00,M2.7
2014-06-12 18:03:00,2014-06-12 18:23:00,M1.3
2014-06-12 19:56:00,2014-06-12 20:05:00,M1.1
2014-06-12 21:01:00,2014-06-12 21:19:00,M1.0
2014-06-12 21:34:00,2014-06-12 22:52:00,M3.1
2014-06-13 07:49:00,2014-06-13 07:59:00,M2.6
2014-06-15 11:10:00,2014-06-15 11:50:00,M1.1
2014-06-15 23:50:00,2014-06-16 00:17:00,M1.0
2014-07-01 11:05:00,2014-07-01 11:59:00,M1.4
2014-07-08 16:06:00,2014-07-08 16:30:00,M6.5
2014-07-09 00:20:00,2014-07-09 00:33:00,M1.2
2014-07-10 22:29:00,2014-07-10 22:37:00,M1.5
2014-07-31 11:01:00,2014-07-31 11:21:00,M2.5
2014-08-01 14:43:00,2014-08-01 14:57:00,M2.0
2014-08-01 17:55:00,2014-08-01 18:48:00,M1.5
2014-08-21 13:19:00,2014-08-21 13:42:00,M3.4
2014-08-22 06:18:00,2014-08-22 06:34:00,M1.2
2014-08-24 12:00:00,2014-08-24 12:25:00,M5.9
2014-08-25 14:46:00,2014-08-25 15:31:00,M2.0
2014-08-25 20:06:00,2014-08-25 20:29:00,M3.9
2014-09-03 13:20:00,2014-09-03 14:23:00,M2.5
2014-09-06 16:50:00,2014-09-06 17:22:00,M1.1
2014-09-08 23:12:00,2014-09-09 01:31:00,M4.5
2014-09-11 15:20:00,2014-09-11 15:31:00,M2.1
2014-09-11 21:01:00,2014-09-11 21:30:00,M1.4
2014-09-14 02:03:00,2014-09-14 02:36:00,M1.5
2014-09-18 08:37:00,2014-09-18 08:53:00,M1.2
2014-09-23 23:03:00,2014-09-23 23:28:00,M2.3
2014-09-28 02:39:00,2014-09-28 03:19:00,M5.1
2014-09-28 16:34:00,2014-09-28 18:00:00,M1.0
2014-10-02 17:10:00,2014-10-02 18:15:00,M1.5
2014-10-02 18:49:00,2014-10-02 19:14:00,M7.3
2014-10-09 01:30:00,2014-10-09 01:47:00,M1.3
2014-10-09 01:54:00,2014-10-09 02:02:00,M1.4
2014-10-09 06:48:00,2014-10-09 07:06:00,M1.2
2014-10-16 12:58:00,2014-10-16 13:05:00,M4.3
2014-10-18 07:02:00,2014-10-18 08:49:00,M1.6
